symbol	ctrl_01	ctrl_02	ctrl_03	ctrl_04	tx_01	tx_02	tx_03	tx_04
Gm37323	-0.5395544897218216	-0.5395544897218216	-0.5395544897218216	-0.5395544897218216	-0.5395544897218216	1.5375991030586722	-0.5395544897218216	1.6997278352722576
Mrpl15	0.08258418772746029	-0.7289854553676984	0.6516412184473604	1.9365070188572806	-0.642982673667519	-0.5454146919047387	-1.1805381699021178	0.4271885658098308
Lypla1	-1.3307858263595538	0.5182535942851209	1.1764677495773523	1.496611957820496	0.061490520882525206	-0.7852305914018385	-0.3813677771847056	-0.7554396276193659
Tcea1	-0.7227545187798723	0.7312850992519891	0.8176565734365636	1.8372557963099716	-0.5723979389875751	-0.7561131886477628	-0.43464748852458485	-0.9002843340587643
Rgs20	0.893791268592325	0.9724649030488951	-0.8117226972298035	0.05188847151618205	-0.47428637058012596	0.8638198957334016	0.37090323903652345	-1.866858710117398
Atp6v1h	-1.5520242190399798	0.2434043515443297	0.8124941146113533	1.4784929344350122	0.3819380626509226	-1.1972243501850632	-0.298838218431972	0.13175732441539698
4732440D04Rik	1.1792236646365655	0.20219976035646678	-0.48863690568757084	-1.839020616245219	0.8028015236247894	0.5089788854009053	0.5163055619280467	-0.8818518740139762
Rb1cc1	-1.638012351240284	1.1673008621949348	0.46022577138727183	-0.1345571871805908	-0.6035164783324091	1.1556571920172651	0.48266201029937916	-0.889759819145625
St18	-1.4579764387982939	-1.4019162404947416	0.9142817821377228	0.6456162361227398	0.14980620546007867	-0.49872524367063853	0.937543310808107	0.7113703884350271
Pcmtd1	-1.169624379996423	-0.3331419463306247	-1.024791492516167	-0.3135796268121764	0.7786186377354467	0.9202990678859733	1.6357542104390508	-0.49353447040502985
Gm26901	-1.610909604533134	-0.9091735316025701	-0.5849382306001408	0.8827835534929012	1.4210358759076627	-0.05913177279915791	0.6090349991750533	0.25129871095938855
Rrs1	0.20813124187861243	-0.7027331617823058	-0.44405690999870473	1.797679910022364	0.1902007373387613	-1.5735651702904496	-0.17615254707910397	0.7004958999109285
Adhfe1	-1.6379485187236278	0.5567440030495675	0.24713022691138684	1.181975787641682	0.9594403863541614	-0.23186388208056086	0.16809648599906063	-1.243574489151673
2610203C22Rik	0.7773717312253521	-0.6931580939518515	-0.6931580939518515	-0.6931580939518515	0.9085748787896933	-0.6931580939518515	-0.6931580939518515	1.779843859744212
Mybl1	-1.2224247633931677	0.18122116682874817	-0.5007660612418955	-1.3291063591899597	0.730376624400315	-0.14673971171602843	1.5207970242839082	0.76664208002808
Vcpip1	-0.9305459383988591	0.9713305957468875	0.9520627041693973	1.1215914383219405	0.23664771779646365	-1.5486610629957689	-0.04772026091998891	-0.7547051937201876
1700034P13Rik	-1.0813862142800785	-0.9689103968254986	-0.39369200739745824	1.3777696532091155	-0.6411795198150783	1.5537194437668642	0.048467227386739864	0.10521181395539005
Gm39590	-0.7236227566227721	-0.7236227566227721	-0.7236227566227721	1.1237758482657252	-0.7236227566227721	1.183460621300024	1.3108773135481113	-0.7236227566227721
Sgk3	-1.3640979374756945	-0.6005835563133722	-0.8801166005170864	-0.47538879814189	0.9623217351860434	0.4216301939254374	0.3358207119897707	1.600414251346694
Mcmdc2	0.17512984370100287	-1.128858573733497	0.3122937978439099	-1.0677592334100898	1.8411708795466812	0.765704760105197	-0.2510521379091198	-0.6466293361441047
Snhg6	0.5220981919258171	0.618432125135183	0.9035240170020404	1.3913813703231372	-1.2175751633585348	-1.2982902990617349	-0.42973746228211973	-0.48983277968377376
Tcf24	-1.2046352625324994	0.7106683485402177	0.6174558916352351	-1.2046352625324994	0.8356577927567731	0.6525809331457443	-1.2046352625324994	0.797542821519529
Ppp1r42	-1.382239865811387	-0.02032584174682396	-0.08660637896426764	0.6648726558016588	-1.382239865811387	-0.06163003247149418	1.4104559185711556	0.8577134104325465
Cops5	-0.03513387290134886	-0.9752585328220298	1.305199273423653	0.7492965091245904	-0.38063336426082356	-0.5819445393225986	-1.32446472636972	1.2429392531283756
Cspp1	0.16812909185899436	-0.5396018488135697	-0.005558582767027577	-1.4844880877388944	0.37255088014122106	-0.9849053149725522	0.8445289217181853	1.629344940573643
Arfgef1	-0.40385460156727293	2.3791587121975564	0.06260403709511429	-0.3920762186007718	-0.5521412713229175	-0.6684339809197053	0.08467341512917755	-0.5099300920112759
Prex2	1.2513395196988981	-0.7244032890388925	1.1974677259025057	1.1732091995930587	-0.7244032890388925	-0.7244032890388925	-0.7244032890388925	-0.7244032890388925
Sulf1	0.4536534420225333	-0.531734139092269	0.39004104901250336	0.36126272724386316	-2.30667229213869	0.4338317639521899	0.5870316523047435	0.612585796695125
Slco5a1	-1.0952168051794609	0.8795668936529902	0.3697008994738825	-0.5737257619668724	0.9523794414539052	-1.553307509650407	-0.08987202191320857	1.1104748641291657
Ncoa2	0.4136744454935491	1.2836967616216342	0.5015162581933027	-0.892470139861455	-1.9647927731127852	0.007045213843908369	0.49944480000373254	0.15188543381804365
Tram1	-1.6217294320329387	-0.10818877771608355	1.4883447920058548	1.0154906845459581	0.5914661617696354	-0.7324914127467889	-0.2040955623201399	-0.42879645350537415
Lactb2	-1.0803342939420877	-0.6073274537267919	-0.726397559110493	-1.1870963400925316	1.1173134337024906	1.0834805346848704	0.4508274261088946	0.9495342523756488
Xkr9	-0.5041095271344599	-0.5041095271344599	-0.5041095271344599	-0.5041095271344599	-0.5041095271344599	-0.5041095271344599	0.841148265968506	2.1835088968382528
